subject,t_from_onset_s,slope_uv_per_deg,r
S1,1.16,0.24464967925133718,0.7971155201313521
S1,1.2,0.2530895270443678,0.802707392798278
S1,1.24,0.2542279299640904,0.7982211850083368
S1,1.28,0.24820835678421055,0.784776663378405
S1,1.32,0.2383745708065941,0.7679088702574947
S1,1.36,0.2291807515500273,0.7540754189000771
S1,1.4,0.22348553520484712,0.7470520887650864
S1,1.44,0.2215410947887355,0.7482580444661618
S1,1.48,0.2218518858056556,0.7580932036319401
S1,1.52,0.22263394668280137,0.774855980092575
S1,1.56,0.2229657601882039,0.7943938894705231
S1,1.6,0.22316635863121362,0.8125885335286018
S1,1.64,0.22412638595156945,0.8273741213177169
S1,1.68,0.22615667559879918,0.8377361663241183
S1,1.72,0.2286686734489732,0.8423489413509557
S1,1.76,0.23099232467194575,0.8401235104636742
S1,1.8,0.23311673161504254,0.8312525056045923
S1,1.84,0.23538064565169642,0.8171617534445783
S1,1.88,0.23758634811502885,0.7987075779388947
S1,1.92,0.2385667161541623,0.7744162072145223
S1,1.96,0.23648912559227497,0.742973088123735
S1,2.0,0.22961201389651612,0.7077707651812317
S1,2.04,0.2173270337124466,0.6761367568497301
S1,2.08,0.2010477581181689,0.6545509227227244
S1,2.12,0.18399978134370187,0.6455695181255213
S1,2.16,0.16996229260627352,0.6475554381752162
S1,2.2,0.16202891952304657,0.6580574462950701
S1,2.24,0.16162811055612183,0.677175007580831
S1,2.28,0.16758697940642328,0.7025345776094145
S1,2.32,0.17614296951168115,0.7251760830669098
S1,2.36,0.1825679355671215,0.7360283845509028
S1,2.4,0.1834218938475518,0.7317854789504346
S1,2.44,0.17806723643572164,0.7144901458165199
S1,2.48,0.16866211622700236,0.6896279181248532
S1,2.52,0.15884440121789423,0.6667143495549727
S1,2.56,0.15197383829417588,0.6592510307162104
S1,2.6,0.14952258534357316,0.6770212572280565
S1,2.64,0.15020669508391812,0.7152751283595339
S1,2.68,0.15065582884557535,0.7546387540254549
S1,2.72,0.14734519845685662,0.7763186441012558
S1,2.76,0.13845514142864906,0.7747142379325205
S1,2.8,0.12474595774575795,0.75277793762551
S1,2.84,0.1091164850393684,0.7128733610561558
S1,2.88,0.0950465118853101,0.6564787229631724
S1,2.92,0.08503061664651403,0.5941292212405624
S1,2.96,0.07985828049195325,0.5456608726770588
S1,3.0,0.07859945979802715,0.5217250288626962
S1,3.04,0.07910007422823287,0.5173091122492105
S1,3.08,0.0789320972653025,0.5209484324499214
S1,3.12,0.07616979951675136,0.5218010943869698
S1,3.16,0.06940267000918211,0.5089064861075854
S1,3.2,0.05756726802393078,0.4670208852314729
S1,3.24,0.040530596838604466,0.3729412854229699
S1,3.28,0.019998958087910402,0.20395144846434932
S1,3.32,-0.0006731684121434057,-0.006900352800101706
S1,3.36,-0.01785229432605499,-0.16900924502086545
S1,3.4,-0.02896992176718613,-0.2532870742126673
S1,3.44,-0.03329232107379905,-0.2806461446273183
S1,3.48,-0.032173358116716504,-0.27042143640747623
S1,3.52,-0.028417209287315427,-0.23729901039451556
S1,3.56,-0.024711206663224454,-0.19847349059742653
S1,3.6,-0.02236640050132392,-0.1688831870931104
S1,3.64,-0.02132772540248275,-0.15231250441272554
S1,3.68,-0.020888294564289266,-0.1442443108856286
S1,3.72,-0.020366039264004304,-0.1389237853030412
S1,3.76,-0.019725301774482416,-0.13459815255174734
S1,3.8,-0.01982463461422863,-0.1353940306904505
S1,3.84,-0.02201264562590967,-0.14842660279261374
S1,3.88,-0.027416993703525447,-0.17859804091072923
S1,3.92,-0.0364508428882588,-0.2259724870506682
S1,3.96,-0.04868962213823763,-0.2866300467879809
S1,4.0,-0.06291081921735484,-0.35251718277559463
S1,4.04,-0.07699834374169282,-0.41098412613081525
S1,4.08,-0.0880835039856406,-0.4502124532496462
S1,4.12,-0.0933526880268487,-0.4644991393168856
S1,4.16,-0.09114504287844294,-0.4521608188282429
S1,4.2,-0.08186006860429189,-0.41314292114643364
S1,4.24,-0.06826107273855322,-0.3525148080632422
S1,4.28,-0.05466921435002904,-0.28606884488273265
S1,4.32,-0.045282830274618234,-0.2365927736208619
S1,4.36,-0.0425575235777786,-0.2198257142357537
S1,4.4,-0.04632248900600402,-0.23562104555274538
S1,4.44,-0.054112830006498004,-0.27164778584916444
S1,4.48,-0.06254950157203583,-0.31328747461018497
S1,4.52,-0.06872698370943467,-0.3497590423851954
S1,4.56,-0.07100984472297522,-0.37370795527989786
S1,4.6,-0.06946084387948359,-0.3804921244013296
S1,4.64,-0.0657851724772995,-0.37107769398535867
S1,4.68,-0.06247431831870092,-0.35515810671474213
S1,4.72,-0.06146831191232629,-0.34695695229923545
S1,4.76,-0.06325249231525039,-0.3554352151316761
S1,4.8,-0.06695178031950944,-0.38018474285176096
S1,4.84,-0.07102269443518372,-0.4140631944010499
S1,4.88,-0.07394857616048961,-0.4475996874068061
S1,4.92,-0.07484873741688038,-0.4736131797682712
S1,4.96,-0.07405167481994798,-0.490298224475588
S1,5.0,-0.07342187288385964,-0.5027388337857535
S1,5.04,-0.07609435087525326,-0.5240271139311905
S1,5.08,-0.08518132528727039,-0.5651263482579817
S1,5.12,-0.10090574751899722,-0.6123089757727239
S1,5.16,-0.11676266124938396,-0.6301056195265111
S1,5.2,-0.11814624532537539,-0.584572946251658
S1,5.24,-0.08759677638366642,-0.42826149930178925
S1,5.28,-0.014923751947523095,-0.07464835149504184
S1,5.32,0.09541405414918551,0.42332409251487635
S1,5.36,0.22488706313611084,0.7410315633966701
S2,-0.4,-0.36581332445253234,-0.9333358864412797
S2,-0.36,-0.70953613431516,-0.966872170611695
S2,-0.32,-1.1222974119606637,-0.9818823464788515
S2,-0.28,-1.5130732790152104,-0.9883132232390015
S2,-0.24,-1.791311904425757,-0.991008716305771
S2,-0.2,-1.9053535590994592,-0.9918351497086428
S2,-0.16,-1.8641677092958295,-0.9915099175538263
S2,-0.12,-1.7242749250790383,-0.9903806650315807
S2,-0.08,-1.5503804996227846,-0.9886257216062879
S2,-0.04,-1.3829944906638536,-0.9860663010978683
S2,0.0,-1.232569993222911,-0.9819860140470299
S2,0.04,-1.0930111510921319,-0.9753599686147922
S2,0.08,-0.9572796875466835,-0.9650415884964403
S2,0.12,-0.8246807746782099,-0.949446830490368
S2,0.16,-0.6999517632735933,-0.9260354836773532
S2,0.2,-0.5891016061292701,-0.8916029048140521
S2,0.24,-0.4959899971369035,-0.8448407315406531
S2,0.28,-0.42099858335457085,-0.7894827962548947
S2,0.32,-0.36146640970503874,-0.7324899552867092
S2,0.36,-0.3131702126033958,-0.6781679621251762
S2,0.4,-0.2719867328072496,-0.6258159161923511
S2,0.44,-0.23498976660548018,-0.5721489972447693
S2,0.48,-0.20098190138610736,-0.5150381625967384
S2,0.52,-0.17065140434483927,-0.4566201444865752
S2,0.56,-0.14582932729190176,-0.4035141482113589
S2,0.6,-0.12788080475013497,-0.3627242798999117
S2,0.64,-0.11625837815941112,-0.3359808452220385
S2,0.68,-0.10774648276839575,-0.3161706901504565
S2,0.72,-0.09716327671862163,-0.2890551115010889
S2,0.76,-0.0799485656119501,-0.24088519614178833
S2,0.8,-0.05479059455778003,-0.16676325098509814
S2,0.84,-0.023986847398894055,-0.0734635583268087
S2,0.88,0.00815355511258958,0.025080183204173365
S2,0.92,0.03732290990660688,0.11547643726586429
S2,0.96,0.06080553613332992,0.18950081183028045
S2,1.0,0.07831185993489263,0.24486687275247587
S2,1.04,0.09174385367533522,0.28452041138838124
S2,1.08,0.10395740290949797,0.3149077635031887
S2,1.12,0.11730575931031147,0.3430211226142953
S2,1.16,0.13260060532706294,0.3728392715071477
S2,1.2,0.14891886526260328,0.4036439267074559
S2,1.24,0.16424798889474101,0.4310845675452852
S2,1.28,0.17639121237450825,0.44972132267978543
S2,1.32,0.1840469249273123,0.4564836531672584
S2,1.36,0.18793003615720352,0.4535802383093319
S2,1.4,0.1906628649187556,0.44783651737171093
S2,1.44,0.19515847666018843,0.44684329025136116
S2,1.48,0.20324382326617232,0.45579739007242487
S2,1.52,0.21511947989250826,0.4759205625797514
S2,1.56,0.2289574734317035,0.5035133556832212
S2,1.6,0.24102477535676473,0.5309029573465633
S2,1.64,0.24714706508106346,0.5498126782419827
S2,1.68,0.24476371065277855,0.5543776060567074
S2,1.72,0.2342199643898535,0.5423119698059367
S2,1.76,0.2189263074326188,0.5158069273770147
S2,1.8,0.20422419832368205,0.4824414831702395
S2,1.84,0.19500376717446052,0.4529320046624098
S2,1.88,0.19335621439840106,0.4346649032865526
S2,1.92,0.1978135509466497,0.42758171844355647
S2,1.96,0.20468491203808933,0.42691157116683365
S2,2.0,0.21051260047592243,0.4280738420648661
S2,2.04,0.21366005800584917,0.428733763471667
S2,2.08,0.21405498046967816,0.4284299823232167
S2,2.12,0.21209093865585352,0.4278297868528443
S2,2.16,0.20776999886991038,0.4275279122630204
S2,2.2,0.20076029252375427,0.42731156907048456
S2,2.24,0.19122897406284617,0.42689233226482104
S2,2.28,0.17996241269674107,0.4256898742943506
S2,2.32,0.1674364541036044,0.4207692492813461
S2,2.36,0.1535249239525263,0.40714150324190274
S2,2.4,0.13841221952713703,0.3822268358634236
S2,2.44,0.12334945467000237,0.3492404788176592
S2,2.48,0.11047511657845392,0.3162335811711301
S2,2.52,0.10204140325495953,0.2927728820140467
S2,2.56,0.0991251316937333,0.2847609511943844
S2,2.6,0.10033282142421504,0.2898489263949233
S2,2.64,0.10207830730595138,0.2983312650167729
S2,2.68,0.10048510169790975,0.2983975536380995
S2,2.72,0.0930604056708499,0.2804525954603424
S2,2.76,0.0793603092102264,0.24049258696762402
S2,2.8,0.060947899789193384,0.18306527247629314
S2,2.84,0.04035645833234745,0.11860801803901899
S2,2.88,0.01961081015441207,0.05609612185925
S2,2.92,-2.0101376763263426e-05,-5.619191057301687e-05
S2,2.96,-0.01708640280453623,-0.047131975578265206
S2,3.0,-0.029818210990269108,-0.08179444205187916
S2,3.04,-0.03741788453237394,-0.10197985125524286
S2,3.08,-0.04109441990634671,-0.11014904152049962
S2,3.12,-0.04350052053508046,-0.11327375808187742
S2,3.16,-0.047241220303462575,-0.11885544914025373
S2,3.2,-0.053928703582997846,-0.13146605572429926
S2,3.24,-0.06401466003637583,-0.15210450905356865
S2,3.28,-0.07671235520471198,-0.17849878029905283
S2,3.32,-0.09018598954113731,-0.20627946566821465
S2,3.36,-0.10265832447429715,-0.23205918254721875
S2,3.4,-0.11346156965111065,-0.25559598304543973
S2,3.44,-0.12265636741787868,-0.27823818107571946
S2,3.48,-0.12992690034761922,-0.29965601184642304
S2,3.52,-0.13425863206410465,-0.3165279114505667
S2,3.56,-0.13454429305513996,-0.32444872305215666
S2,3.6,-0.13067846546021547,-0.32174454994140333
S2,3.64,-0.12472521442674737,-0.31253163970677045
S2,3.68,-0.12122966436203396,-0.30738703012947466
S2,3.72,-0.12561594070925805,-0.3197103870223897
S2,3.76,-0.14092980348149498,-0.3570397760847439
S2,3.8,-0.16516804143678385,-0.41399442722434904
S2,3.84,-0.19135262223095753,-0.4751160148515699
S2,3.88,-0.21042703293613957,-0.5248891328458022
S2,3.92,-0.21572330884313592,-0.5546320193863579
S2,3.96,-0.2066742159119821,-0.5627865111866703
S2,4.0,-0.189091639227886,-0.5533533861065449
S2,4.04,-0.17172159908737342,-0.5355247100358544
S2,4.08,-0.16185596060569424,-0.5218905128837266
S2,4.12,-0.16267719099314976,-0.5212311530459671
S2,4.16,-0.1730707480726634,-0.5321182526381381
S2,4.2,-0.18928978540716448,-0.5475272625712956
S2,4.24,-0.2070785391996885,-0.5632529146647283
S2,4.28,-0.22300028059667715,-0.5790047712120501
S2,4.32,-0.23480003389536416,-0.5946541547770088
S2,4.36,-0.24133243991741682,-0.6075578996534668
S2,4.4,-0.2425936039996454,-0.6131914988868274
S2,4.44,-0.24023815773710686,-0.6091908826828969
S2,4.48,-0.23770976791580525,-0.5992887559061866
S2,4.52,-0.2389003223079919,-0.5918702828957176
S2,4.56,-0.24620041039172122,-0.5935845270353025
S2,4.6,-0.2593271686288595,-0.6048829427349698
S2,4.64,-0.27522552782052717,-0.6210937592717867
S2,4.68,-0.28926692550714334,-0.6363736881409862
S2,4.72,-0.2975007220088066,-0.6467085262164677
S2,4.76,-0.29837111596609317,-0.6504807305275029
S2,4.8,-0.29301540391273256,-0.6476314692600577
S2,4.84,-0.2843282779531746,-0.6389173391024765
S2,4.88,-0.27471004615322003,-0.6250038285376347
S2,4.92,-0.26398730452231,-0.6053587802490197
S2,4.96,-0.2508073161820886,-0.5801189846406414
S2,5.0,-0.23770227103039032,-0.5563579452194536
S2,5.04,-0.23485753824689795,-0.5529006408794663
S2,5.08,-0.2561833337964085,-0.5900627555538118
S2,5.12,-0.30413702329134223,-0.6570342689070576
S2,5.16,-0.3494285802836992,-0.700854596772835
S2,5.2,-0.32483844490534053,-0.6474488061322967
S2,5.24,-0.1509781755656035,-0.32223811780017125
S2,5.28,0.2151735981673488,0.3704685733726857
S2,5.32,0.7450578286516544,0.753918105531957
S2,5.36,1.344955863567763,0.8747823531512948
S3,-0.4,-0.21592213468994664,-0.5764732370020448
S3,-0.36,-0.4391631644098412,-0.6638049394885073
S3,-0.32,-0.7506026141377584,-0.7210979665469845
S3,-0.28,-1.1209210366225735,-0.7648157044075696
S3,-0.24,-1.4980260175949205,-0.7987351893303694
S3,-0.2,-1.825176708609295,-0.8218825053681305
S3,-0.16,-2.062588687322534,-0.8336851708772242
S3,-0.12,-2.199509237288289,-0.8354136961684915
S3,-0.08,-2.2491955424900225,-0.8298081798726356
S3,-0.04,-2.2340048664493954,-0.8198962279856368
S3,0.0,-2.1733488757843578,-0.8076554978531458
S3,0.04,-2.080049896321378,-0.7933892088186902
S3,0.08,-1.962751609835594,-0.7762102491997229
S3,0.12,-1.8293122116700047,-0.7551098209105569
S3,0.16,-1.6878541527239697,-0.7297211868502969
S3,0.2,-1.5454089896941408,-0.700361870082796
S3,0.24,-1.4059358697634599,-0.66749518659851
S3,0.28,-1.269743807364773,-0.6310670599492167
S3,0.32,-1.1351649841216829,-0.5903444191882675
S3,0.36,-1.0011444436667167,-0.5444903994856238
S3,0.4,-0.8688956457607875,-0.49344142039022865
S3,0.44,-0.7419946415047373,-0.4385105985963498
S3,0.48,-0.6246994741195783,-0.38218601426264753
S3,0.52,-0.5190615154657813,-0.32676325194315525
S3,0.56,-0.42329765101599126,-0.27279559908451834
S3,0.6,-0.3332496456953893,-0.21913238173553917
S3,0.64,-0.24550277701569048,-0.16451691004192148
S3,0.68,-0.15959567409327324,-0.10905754208582918
S3,0.72,-0.07829524227913816,-0.05463815302140762
S3,0.76,-0.00616399028374305,-0.004397360038722764
S3,0.8,0.05311352805426903,0.03871466163035922
S3,0.84,0.0993991181417104,0.0738213291658178
S3,0.88,0.13658755577844767,0.10281678406606518
S3,0.92,0.17049422471405357,0.12919017499806754
S3,0.96,0.20643952921996542,0.15636443937877265
S3,1.0,0.24790847213074405,0.18661381026610463
S3,1.04,0.2954441037979339,0.22011275966661173
S3,1.08,0.3457212171888758,0.2541439468198227
S3,1.12,0.3918583108559356,0.2834063283071459
S3,1.16,0.42551070551182746,0.30201978432164944
S3,1.2,0.44045092797937097,0.3064610624214888
S3,1.24,0.4362722513879783,0.2976808220531696
S3,1.28,0.4203046017360929,0.281654825162011
S3,1.32,0.40623994743430847,0.2682865449414104
S3,1.36,0.40892462846924027,0.26799735936583124
S3,1.4,0.437071012878653,0.2868499728778675
S3,1.44,0.48819087763124447,0.3228932357982167
S3,1.48,0.5489016249234876,0.3654667466443525
S3,1.52,0.6002486531054099,0.39887664705201853
S3,1.56,0.6258899549629863,0.4103541349583297
S3,1.6,0.6202097800524813,0.3972578282889077
S3,1.64,0.5918403761036911,0.3681161068034904
S3,1.68,0.5588254917619013,0.3369687825367452
S3,1.72,0.5376288862622757,0.3148986780420546
S3,1.76,0.5335047410377616,0.3046885173619903
S3,1.8,0.5383717868435509,0.3012614309035511
S3,1.84,0.5370062463470887,0.2962179319397722
S3,1.88,0.5176414622676275,0.28332037087849116
S3,1.92,0.4804944030787384,0.262258703088003
S3,1.96,0.4387404784473707,0.23916719888344418
S3,2.0,0.41084580197723264,0.22316000564616803
S3,2.04,0.4090629561815768,0.22037318368771858
S3,2.08,0.4324300284627415,0.23016581166295888
S3,2.12,0.4692552208417511,0.2467660685271626
S3,2.16,0.5059924581730916,0.26418845603313956
S3,2.2,0.5349167728178582,0.27976356458833596
S3,2.24,0.5553802204958561,0.2938697612627995
S3,2.28,0.5696745767751796,0.30715504421546247
S3,2.32,0.5777464427463931,0.31778426546657107
S3,2.36,0.5741212246443331,0.3201496178783922
S3,2.4,0.5492119753541576,0.3063868265142392
S3,2.44,0.49498769490945,0.2717376531026799
S3,2.48,0.4107341388224895,0.21945388381244035
S3,2.52,0.30468926890985776,0.15869614411348748
S3,2.56,0.19126685923247627,0.09842770297098191
S3,2.6,0.08544523013237869,0.0442520645360959
S3,2.64,-0.0033571656514858597,-0.0017774582141595885
S3,2.68,-0.07383244048159793,-0.040201799839154784
S3,2.72,-0.12962828395414616,-0.07192930859882565
S3,2.76,-0.17309173763733085,-0.09577006366847939
S3,2.8,-0.2001156129721089,-0.10805200181999597
S3,2.84,-0.19919509378765174,-0.1039569688293669
S3,2.88,-0.1567553183923723,-0.07933634341234601
S3,2.92,-0.06663940148682727,-0.033079088363630355
S3,2.96,0.06271860745044606,0.030985331875868077
S3,3.0,0.20831731296401904,0.1040813719066094
S3,3.04,0.33969052324351523,0.17455744412235216
S3,3.08,0.42968374072708326,0.23079420725854066
S3,3.12,0.46398447806331794,0.26345922924247556
S3,3.16,0.44552743492845365,0.26803067067063924
S3,3.2,0.39285738357104455,0.24850523774108277
S3,3.24,0.33316727613091107,0.218399326051179
S3,3.28,0.2920352705244814,0.1952280566522902
S3,3.32,0.28397411597678274,0.19121478228331482
S3,3.36,0.30807126062308865,0.20711228204523946
S3,3.4,0.3495239621309486,0.23247335458322366
S3,3.44,0.38566384864784914,0.2520023036871329
S3,3.48,0.39586319332498254,0.25519593836068605
S3,3.52,0.37283284128876737,0.24118891885822338
S3,3.56,0.3283941676254993,0.2173924496233255
S3,3.6,0.28844448197159406,0.1975943918642991
S3,3.64,0.2799109285827553,0.19846414335935264
S3,3.68,0.31730315262718767,0.23097303222371474
S3,3.72,0.39469395500319737,0.2904836164610312
S3,3.76,0.4861363124405182,0.35450785901947784
S3,3.8,0.5557425410790853,0.3950747221105035
S3,3.84,0.573997837999861,0.39603039723214245
S3,3.88,0.5311754348145862,0.3579551020352801
S3,3.92,0.4400987252338898,0.2928922397522241
S3,3.96,0.3287718478370126,0.21838824943008284
S3,4.0,0.2293404236799764,0.15318250009326106
S3,4.04,0.1684012629881268,0.1134925213003303
S3,4.08,0.1599092268754166,0.10878342285216036
S3,4.12,0.2018919274458796,0.13842581041880517
S3,4.16,0.27880451169954656,0.1920912231756366
S3,4.2,0.36874848285930983,0.25446158271906427
S3,4.24,0.45193830241952937,0.3120906082555247
S3,4.28,0.516502464433801,0.35782306762442795
S3,4.32,0.559155860519093,0.38962962302259196
S3,4.36,0.5813945315525754,0.40699425265263145
S3,4.4,0.5847617004399034,0.4093966092805592
S3,4.44,0.5685436144262915,0.39683916200887415
S3,4.48,0.5312236020669381,0.3702791657260831
S3,4.52,0.47459186190526725,0.33220472337753604
S3,4.56,0.40694871767780577,0.2878840413653675
S3,4.6,0.34195745103358344,0.24544738269454666
S3,4.64,0.29358383289913764,0.2136448083846743
S3,4.68,0.27073964508712667,0.198490032864558
S3,4.72,0.274356948002621,0.200472957799452
S3,4.76,0.29741863580908434,0.21394803299256238
S3,4.8,0.32772306384462574,0.22986798708596343
S3,4.84,0.35237174770042545,0.24035533579755386
S3,4.88,0.36196006827566785,0.24160666726532987
S3,4.92,0.35299397311085545,0.2337670288139707
S3,4.96,0.32809259938751734,0.21903745901113614
S3,5.0,0.29477890011292196,0.2002304344229658
S3,5.04,0.26535487716699646,0.18219898481390742
S3,5.08,0.2590690241284526,0.17555284871162055
S3,5.12,0.3026433572239206,0.19588834290405457
S3,5.16,0.4242956260180138,0.2548100238570036
S3,5.2,0.6439190310524753,0.3523262419024065
S3,5.24,0.9668239783412945,0.4782242573686598
S3,5.28,1.38094059455633,0.6150837442079554
S3,5.32,1.8539207228179535,0.739669210178968
S3,5.36,2.3345119710509055,0.8320588372011892
S4,-0.4,-0.1759181754283369,-0.974910737139222
S4,-0.36,-0.35198552175104436,-0.9895451418444844
S4,-0.32,-0.5673083838345945,-0.9948384121618215
S4,-0.28,-0.7715285843358638,-0.9966400182281067
S4,-0.24,-0.9156347226238588,-0.9972647866098152
S4,-0.2,-0.9729448565577702,-0.9974328451003543
S4,-0.16,-0.9500731431830725,-0.9974510256427023
S4,-0.12,-0.879436838924543,-0.9975397962641178
S4,-0.08,-0.7979395647053968,-0.9977211275181864
S4,-0.04,-0.7285702702367786,-0.997616339027787
S4,0.0,-0.6760170098714744,-0.9967070924938036
S4,0.04,-0.6337765814434264,-0.9948934032684555
S4,0.08,-0.5934720917116,-0.992487298043937
S4,0.12,-0.5503437385273436,-0.9896650583019423
S4,0.16,-0.5045243412569654,-0.986149631704988
S4,0.2,-0.45937547461771755,-0.9814936375560184
S4,0.24,-0.4184678887974167,-0.9754982457755363
S4,0.28,-0.3834471353153298,-0.9680412824287634
S4,0.32,-0.353706232550996,-0.958540803267766
S4,0.36,-0.32706354575116614,-0.945859597947478
S4,0.4,-0.3007040454336498,-0.9285284893904713
S4,0.44,-0.27225238021908854,-0.9048519125222093
S4,0.48,-0.24060707457340919,-0.8730613189642022
S4,0.52,-0.20607521288942243,-0.8313120163388805
S4,0.56,-0.16998677751162775,-0.7765931044088923
S4,0.6,-0.1341547759500002,-0.7031016163188903
S4,0.64,-0.10003865683056286,-0.6013302953518873
S4,0.68,-0.06787965743006988,-0.4582060106249925
S4,0.72,-0.03692178938188976,-0.2663431478029834
S4,0.76,-0.006626338966017235,-0.04758322405562554
S4,0.8,0.022518759031992602,0.15181215644235857
S4,0.84,0.04914825716058599,0.30435735606913633
S4,0.88,0.07155160217886711,0.40968035124376945
S4,0.92,0.08844909666334234,0.47541618072004427
S4,0.96,0.09989159657700798,0.5102687933966507
S4,1.0,0.10751757096985826,0.5275832493286969
S4,1.04,0.11355676223210151,0.5429752651268734
S4,1.08,0.11936881616441433,0.5645020821164386
S4,1.12,0.12503357369940366,0.5883323038917111
S4,1.16,0.1301463853951084,0.6055008841136057
S4,1.2,0.13459835992157193,0.6122278258041703
S4,1.24,0.1389254336947606,0.6128017553687981
S4,1.28,0.14436988411572382,0.6149412615936435
S4,1.32,0.15228382084670555,0.6249814527554252
S4,1.36,0.16318392143104554,0.6454570617835065
S4,1.4,0.17640244136067967,0.6743688905066343
S4,1.44,0.19042192803302144,0.7059231200355457
S4,1.48,0.2034196577444746,0.7333262045508486
S4,1.52,0.21387972138487185,0.7523314951110385
S4,1.56,0.22103660637832484,0.7621585991091586
S4,1.6,0.2248224218049864,0.7639618721604728
S4,1.64,0.22565814665820133,0.7599652603110714
S4,1.68,0.22453478544499136,0.7533235215571125
S4,1.72,0.22288982714909286,0.7471414732457163
S4,1.76,0.22187675169423465,0.7433974998693887
S4,1.8,0.22181182171408523,0.7428508475607261
S4,1.84,0.22234973354942097,0.7452374245384289
S4,1.88,0.2227290836188895,0.7493208973292813
S4,1.92,0.22184055636820638,0.7531584616105199
S4,1.96,0.21884029158942817,0.7547850495326901
S4,2.0,0.21408471957039607,0.7534355991941526
S4,2.04,0.20914581815596212,0.7510823740590972
S4,2.08,0.2057287901922701,0.7521077068941502
S4,2.12,0.20455884737524216,0.7596680001138891
S4,2.16,0.2050162791369766,0.7719604768726914
S4,2.2,0.2054697002838588,0.7829828523054013
S4,2.24,0.2039100873015915,0.786876511312071
S4,2.28,0.19870404903239952,0.7801597593200343
S4,2.32,0.1895825304594721,0.761439053335818
S4,2.36,0.17820752607898752,0.7330051484436351
S4,2.4,0.16728206245778215,0.7025894025095539
S4,2.44,0.15879818085583497,0.6794227399747531
S4,2.48,0.15324726118862608,0.6680901362761918
S4,2.52,0.15006012025611767,0.6675959691508417
S4,2.56,0.1480706307844048,0.6735473810873454
S4,2.6,0.14582801775095258,0.679826703353294
S4,2.64,0.1423957991289877,0.6803289184714608
S4,2.68,0.13799818295940774,0.671596668590558
S4,2.72,0.13344563619421604,0.655183319363287
S4,2.76,0.12899425956921307,0.6356572405565806
S4,2.8,0.12398777470299069,0.6149598454330657
S4,2.84,0.11741800111302221,0.5902595144226669
S4,2.88,0.10874645734195477,0.5573469210665931
S4,2.92,0.0984869851563849,0.5152711052959715
S4,2.96,0.08813905795701002,0.4678115601516253
S4,3.0,0.07935717292133454,0.42142479818102707
S4,3.04,0.07287983695063079,0.38130280719971976
S4,3.08,0.06812247714861613,0.3481818790980702
S4,3.12,0.06368426154284579,0.3186666951475692
S4,3.16,0.05816450424479469,0.2879217646102711
S4,3.2,0.050862794972573046,0.25233137876736234
S4,3.24,0.04220390691124122,0.2117620888032484
S4,3.28,0.03333895313625997,0.16966999324958876
S4,3.32,0.025192784024016843,0.13024529470141855
S4,3.36,0.018046498339794246,0.09548302341587889
S4,3.4,0.011855176108449536,0.06504820587058241
S4,3.44,0.006623202883924825,0.03811451187703324
S4,3.48,0.002561243866377326,0.015452849388591816
S4,3.52,-0.00014343541748944232,-0.0008920891484927029
S4,3.56,-0.0018296049653203379,-0.011411958456924165
S4,3.6,-0.0032396114313976115,-0.019784398928521185
S4,3.64,-0.004836295610732416,-0.028598956097604655
S4,3.68,-0.0065749522031401525,-0.03766759128274666
S4,3.72,-0.008126743353036064,-0.0453871632168546
